txn_id,txn_ts,student_id,item_id,item_name,category,qty,unit_price,discount_pct,payment_method
T0000001,2025-07-01 19:34:14,S1238,I01,Veg Puff,Snacks,1,25.79,0,Cash
T0000002,2025-07-01 13:39:12,S1293,I04,Cold Coffee,Beverages,1,60.03,0,UPI
T0000003,2025-07-01 09:20:50,S1241,I02,Samosa,Snacks,2,15.0,15,Cash
T0000004,2025-07-01 09:29:11,S1289,I03,Masala Sandwich,Sandwiches,1,44.16,0,Cash
T0000005,2025-07-01 18:21:19,S1389,I06,Poha,Breakfast,1,29.92,0,Cash
T0000005,2025-07-01 18:21:19,S1129,I02,Samosa,Snacks,1,14.93,15,Cash
T0000006,2025-07-01 09:08:11,S1273,I06,Poha,Breakfast,1,29.37,0,UPI
T0000006,2025-07-01 09:08:11,S1268,I04,Cold Coffee,Beverages,2,60.03,10,Card
T0000007,2025-07-01 17:38:04,S1128,I04,Cold Coffee,Beverages,1,59.8,0,Card
T0000007,2025-07-01 17:38:04,S1077,I02,Samosa,Snacks,4,15.48,0,UPI
T0000008,2025-07-01 12:16:15,S1269,I02,Samosa,Snacks,1,14.53,0,Card
T0000009,2025-07-01 14:24:59,S1115,I06,Poha,Breakfast,1,30.25,0,Cash
T0000009,2025-07-01 14:24:59,S1267,I04,Cold Coffee,Beverages,1,59.85,0,Card
T0000010,2025-07-01 09:01:43,S1398,I01,Veg Puff,Snacks,1,24.5,0,UPI
T0000011,2025-07-01 09:54:49,S1322,I01,Veg Puff,Snacks,1,25.76,0,UPI
T0000011,2025-07-01 09:54:49,S1012,I02,Samosa,Snacks,1,14.13,5,Card
T0000012,2025-07-01 08:01:06,S1296,I02,Samosa,Snacks,1,16.32,0,UPI
T0000013,2025-07-01 12:23:44,S1008,I02,Samosa,Snacks,1,14.49,0,Card
T0000014,2025-07-01 12:40:51,S1277,I02,Samosa,Snacks,2,15.36,0,Cash
T0000015,2025-07-01 12:08:20,S1378,I01,Veg Puff,Snacks,1,24.06,0,Cash
T0000015,2025-07-01 12:08:20,S1082,I06,Poha,Breakfast,1,30.26,0,UPI
T0000016,2025-07-01 19:49:59,S1066,I04,Cold Coffee,Beverages,2,60.08,0,Card
T0000016,2025-07-01 19:49:59,S1132,I02,Samosa,Snacks,1,14.01,5,Card
T0000017,2025-07-01 14:26:48,S1005,I04,Cold Coffee,Beverages,3,60.72,0,Cash
T0000018,2025-07-01 14:25:12,S1225,I04,Cold Coffee,Beverages,1,58.86,0,UPI
T0000019,2025-07-01 19:32:31,S1114,I05,Cutting Chai,Beverages,1,9.88,0,UPI
T0000019,2025-07-01 19:32:31,S1352,I01,Veg Puff,Snacks,1,24.31,0,UPI
T0000020,2025-07-01 09:50:45,S1280,I04,Cold Coffee,Beverages,4,59.72,0,Card
T0000020,2025-07-01 09:50:45,S1246,I01,Veg Puff,Snacks,2,24.69,0,UPI
T0000021,2025-07-01 09:57:26,S1008,I05,Cutting Chai,Beverages,3,10.75,0,Card
T0000021,2025-07-01 09:57:26,S1325,I01,Veg Puff,Snacks,2,24.51,0,UPI
T0000022,2025-07-01 13:16:53,S1372,I03,Masala Sandwich,Sandwiches,2,44.55,0,Cash
T0000023,2025-07-01 08:59:25,S1338,I05,Cutting Chai,Beverages,2,9.72,0,Cash
T0000023,2025-07-01 08:59:25,S1211,I03,Masala Sandwich,Sandwiches,3,44.24,0,UPI
T0000024,2025-07-01 08:16:38,S1265,I02,Samosa,Snacks,1,14.95,0,Cash
T0000025,2025-07-01 13:23:04,S1077,I06,Poha,Breakfast,1,29.23,0,Cash
T0000026,2025-07-01 14:46:55,S1367,I04,Cold Coffee,Beverages,2,59.39,0,Cash
T0000027,2025-07-01 18:13:38,S1077,I05,Cutting Chai,Beverages,2,9.87,0,Cash
T0000028,2025-07-01 12:07:27,S1141,I01,Veg Puff,Snacks,1,24.88,0,UPI
T0000029,2025-07-01 12:40:09,S1386,I02,Samosa,Snacks,3,15.55,0,UPI
T0000029,2025-07-01 12:40:09,S1307,I06,Poha,Breakfast,5,30.49,0,Cash
T0000030,2025-07-01 14:22:30,S1302,I03,Masala Sandwich,Sandwiches,3,44.91,15,UPI
T0000031,2025-07-01 08:18:58,S1022,I01,Veg Puff,Snacks,3,25.05,0,Cash
T0000031,2025-07-01 08:18:58,S1378,I03,Masala Sandwich,Sandwiches,1,44.49,0,Card
T0000032,2025-07-01 08:07:18,S1399,I05,Cutting Chai,Beverages,1,10.05,0,Cash
T0000033,2025-07-01 09:45:49,S1196,I04,Cold Coffee,Beverages,2,59.97,0,Cash
T0000034,2025-07-01 13:43:10,S1184,I05,Cutting Chai,Beverages,2,9.37,0,UPI
T0000035,2025-07-01 08:26:22,S1380,I02,Samosa,Snacks,1,14.46,0,Card
T0000036,2025-07-01 13:12:21,S1022,I06,Poha,Breakfast,1,29.32,0,UPI
T0000036,2025-07-01 13:12:21,S1286,I04,Cold Coffee,Beverages,3,59.44,0,Card
T0000037,2025-07-01 08:15:17,S1316,I05,Cutting Chai,Beverages,2,9.06,5,UPI
T0000038,2025-07-01 17:14:57,S1376,I04,Cold Coffee,Beverages,4,59.36,0,Card
T0000039,2025-07-01 09:32:37,S1378,I03,Masala Sandwich,Sandwiches,1,45.85,0,UPI
T0000039,2025-07-01 09:32:37,S1383,I01,Veg Puff,Snacks,2,25.89,0,Cash
T0000040,2025-07-01 09:42:02,S1336,I05,Cutting Chai,Beverages,1,8.34,0,UPI
T0000041,2025-07-01 17:28:26,S1026,I06,Poha,Breakfast,1,31.02,0,UPI
T0000042,2025-07-01 13:28:52,S1216,I03,Masala Sandwich,Sandwiches,1,44.56,0,Cash
T0000043,2025-07-01 18:56:07,S1099,I02,Samosa,Snacks,1,15.56,0,UPI
T0000044,2025-07-01 13:25:45,S1061,I02,Samosa,Snacks,1,14.65,15,Cash
T0000045,2025-07-01 12:36:47,S1043,I06,Poha,Breakfast,1,30.28,0,UPI
T0000046,2025-07-01 09:06:42,S1014,I01,Veg Puff,Snacks,1,25.0,0,Cash
T0000047,2025-07-01 14:27:50,S1020,I03,Masala Sandwich,Sandwiches,1,44.07,0,Card
T0000047,2025-07-01 14:27:50,S1013,I06,Poha,Breakfast,1,30.94,0,Card
T0000048,2025-07-01 13:24:44,S1274,I01,Veg Puff,Snacks,1,25.78,15,Card
T0000048,2025-07-01 13:24:44,S1048,I02,Samosa,Snacks,1,15.28,0,Cash
T0000049,2025-07-01 19:41:22,S1023,I02,Samosa,Snacks,1,14.42,0,Card
T0000050,2025-07-01 13:39:02,S1320,I06,Poha,Breakfast,1,29.69,10,Cash
T0000051,2025-07-01 12:04:33,S1366,I06,Poha,Breakfast,1,29.48,0,Cash
T0000052,2025-07-01 08:57:47,S1293,I01,Veg Puff,Snacks,3,23.91,15,Card
T0000053,2025-07-01 13:44:12,S1129,I04,Cold Coffee,Beverages,2,60.98,5,UPI
T0000054,2025-07-01 08:57:39,S1349,I06,Poha,Breakfast,1,30.2,5,Card
T0000055,2025-07-01 08:12:06,S1108,I05,Cutting Chai,Beverages,1,10.08,0,Card
T0000056,2025-07-01 19:01:06,S1209,I02,Samosa,Snacks,3,15.36,10,Card
T0000057,2025-07-01 13:41:48,S1290,I02,Samosa,Snacks,1,15.18,0,UPI
T0000057,2025-07-01 13:41:48,S1378,I05,Cutting Chai,Beverages,2,9.87,0,Cash
T0000058,2025-07-01 18:52:52,S1281,I06,Poha,Breakfast,3,30.38,0,Card
