department_id,name,cost_center,created_at
1,Department 0001,CC0001,2016-11-22
2,Department 0002,CC0002,2015-06-05
3,Department 0003,CC0003,2019-09-05
4,Department 0004,CC0004,2019-03-02
5,Department 0005,CC0005,2018-10-18
6,Department 0006,CC0006,2017-05-17
7,Department 0007,CC0007,2016-09-28
8,Department 0008,CC0008,2024-04-11
9,Department 0009,CC0009,2016-06-24
10,Department 0010,CC0010,2025-01-17
11,Department 0011,CC0011,2022-03-06
12,Department 0012,CC0012,2015-07-17
13,Department 0013,CC0013,2015-07-05
14,Department 0014,CC0014,2016-08-05
15,Department 0015,CC0015,2018-09-20
16,Department 0016,CC0016,2018-12-16
17,Department 0017,CC0017,2023-08-07
18,Department 0018,CC0018,2025-03-29
19,Department 0019,CC0019,2015-06-14
20,Department 0020,CC0020,2024-07-19
21,Department 0021,CC0021,2018-05-20
22,Department 0022,CC0022,2024-04-09
23,Department 0023,CC0023,2022-02-19
24,Department 0024,CC0024,2018-10-01
25,Department 0025,CC0025,2022-08-23
26,Department 0026,CC0026,2025-01-09
27,Department 0027,CC0027,2019-09-25
28,Department 0028,CC0028,2015-02-10
29,Department 0029,CC0029,2017-09-19
30,Department 0030,CC0030,2022-03-11
31,Department 0031,CC0031,2020-10-15
32,Department 0032,CC0032,2019-09-23
33,Department 0033,CC0033,2017-08-24
34,Department 0034,CC0034,2018-08-30
35,Department 0035,CC0035,2020-09-22
36,Department 0036,CC0036,2016-09-27
37,Department 0037,CC0037,2016-07-30
38,Department 0038,CC0038,2021-06-18
39,Department 0039,CC0039,2016-08-23
40,Department 0040,CC0040,2021-02-08
41,Department 0041,CC0041,2020-11-07
42,Department 0042,CC0042,2025-04-09
43,Department 0043,CC0043,2019-07-02
44,Department 0044,CC0044,2015-09-27
45,Department 0045,CC0045,2022-10-25
46,Department 0046,CC0046,2024-02-15
47,Department 0047,CC0047,2017-02-14
48,Department 0048,CC0048,2021-06-10
49,Department 0049,CC0049,2016-05-04
