employee_id,project_id,assigned_date,allocation_pct
1,254,2022-10-15,20
2,709,2018-10-20,60
2,20,2018-08-14,35
2,344,2020-01-19,100
3,944,2018-09-19,85
3,470,2019-02-21,60
3,735,2021-12-01,15
4,655,2025-07-08,10
5,417,2025-05-28,55
5,96,2023-05-09,40
6,741,2022-07-14,20
6,640,2019-02-13,40
6,818,2017-07-07,75
7,341,2025-02-10,20
7,207,2017-09-15,25
7,209,2019-01-04,35
9,285,2021-02-01,70
9,559,2019-01-03,10
10,41,2024-06-02,5
10,874,2025-07-21,65
10,216,2024-11-22,85
11,602,2024-05-29,100
12,174,2022-03-03,100
15,623,2025-05-19,90
17,702,2022-04-18,10
18,948,2021-03-08,90
19,275,2021-02-10,5
19,268,2022-12-13,95
21,394,2018-02-27,100
21,374,2017-09-30,95
23,387,2024-10-01,55
25,981,2020-04-22,70
25,470,2024-08-22,80
26,583,2019-03-09,45
30,408,2025-04-16,90
32,599,2018-12-26,35
32,719,2020-08-15,15
33,112,2025-06-23,10
35,766,2023-09-29,70
37,263,2024-10-10,40
37,405,2024-07-22,100
38,672,2023-11-20,15
39,28,2024-09-24,35
39,217,2023-03-22,5
41,128,2018-08-06,75
42,914,2020-03-07,80
42,326,2025-03-23,80
43,723,2020-01-22,50
43,84,2024-12-07,100
44,33,2024-04-24,55
44,729,2023-06-25,55
45,632,2024-08-31,5
47,46,2024-12-09,80
48,284,2023-03-29,90
48,810,2025-02-01,5
49,854,2024-08-04,35
50,562,2021-12-08,95
50,223,2025-07-19,90
50,160,2025-05-23,5
54,889,2024-08-01,10
56,678,2022-10-31,20
56,239,2020-06-25,30
57,41,2023-06-28,40
60,218,2024-02-19,10
62,71,2022-10-07,100
62,36,2025-03-27,20
62,23,2020-09-12,60
63,705,2018-08-16,35
64,688,2025-08-22,5
64,563,2025-04-02,50
64,396,2025-08-20,25
65,149,2022-11-01,95
70,25,2019-08-06,25
70,904,2022-08-08,75
71,663,2025-05-01,90
71,854,2023-02-04,55
71,138,2022-12-01,100
73,723,2024-10-31,75
73,778,2025-03-11,20
73,407,2025-08-05,70
74,533,2017-09-27,90
76,829,2022-07-26,100
76,909,2019-01-23,80
77,905,2022-11-25,60
77,523,2023-08-02,15
77,407,2024-12-14,85
78,292,2025-07-10,15
78,694,2023-06-02,40
78,211,2023-04-01,90
81,642,2024-11-17,80
81,80,2022-07-07,10
82,58,2023-04-23,55
83,309,2023-02-18,40
84,88,2024-02-23,20
86,172,2020-11-01,35
87,793,2020-03-23,25
88,360,2022-09-10,85
88,519,2019-05-10,25
89,763,2017-03-11,80
89,696,2019-12-24,45
91,181,2022-07-11,25
91,503,2022-04-09,10
92,629,2022-12-03,85
92,53,2024-01-10,75
93,985,2023-08-02,30
94,290,2024-04-13,95
94,692,2023-11-07,75
94,763,2025-05-18,95
96,218,2022-11-23,20
97,365,2021-01-26,25
97,909,2020-02-09,75
97,563,2024-11-30,55
98,266,2024-03-08,70
98,27,2019-11-25,70
99,192,2023-02-14,75
100,436,2024-12-30,40
102,32,2022-09-01,30
103,12,2021-06-08,35
105,441,2019-09-20,60
105,546,2022-04-26,90
106,822,2023-06-27,5
107,139,2023-01-10,100
107,464,2025-08-17,90
108,246,2024-11-07,40
109,28,2017-02-09,45
109,527,2017-02-17,45
110,373,2021-09-13,65
110,941,2025-05-23,40
111,201,2021-11-13,30
111,175,2016-11-25,35
111,875,2024-01-27,65
112,271,2023-12-08,25
114,938,2023-12-15,55
114,438,2022-07-16,70
116,323,2025-05-29,80
117,204,2017-09-12,40
118,123,2020-06-02,30
118,423,2022-03-06,20
119,358,2025-02-23,80
120,630,2022-05-20,90
120,200,2023-02-19,50
123,688,2024-06-13,65
124,73,2023-06-25,45
125,508,2024-08-03,90
126,897,2018-07-09,15
126,796,2020-07-20,100
127,776,2020-02-12,5
129,4,2025-04-03,85
130,711,2025-03-17,55
131,107,2024-03-07,60
133,695,2024-12-04,45
134,370,2020-04-29,45
136,290,2022-12-16,80
137,903,2025-06-24,30
137,830,2025-07-31,80
140,277,2022-07-23,15
140,739,2022-05-24,50
140,394,2022-12-05,25
142,70,2024-09-11,35
142,720,2017-03-04,25
142,980,2018-12-09,25
143,522,2022-01-14,25
143,409,2018-06-30,100
145,964,2024-03-02,40
146,759,2020-11-09,5
146,98,2021-07-02,70
146,624,2023-04-08,50
148,508,2024-04-04,20
149,672,2024-05-02,80
151,993,2024-08-17,100
153,963,2022-10-06,30
154,934,2025-07-08,50
156,796,2022-06-19,100
158,944,2019-04-05,80
159,837,2022-05-19,65
160,255,2024-06-13,35
160,928,2025-08-07,5
161,198,2018-05-02,70
161,966,2019-10-08,15
161,70,2020-01-14,10
162,623,2025-06-16,70
162,850,2023-05-11,30
162,848,2021-06-05,95
165,494,2024-01-01,5
167,245,2023-02-16,60
167,412,2022-06-21,80
168,943,2024-04-20,70
170,281,2022-10-11,95
170,795,2021-08-02,75
173,839,2023-10-14,55
174,246,2024-11-27,55
174,961,2025-06-13,35
174,751,2025-03-24,20
176,892,2022-06-30,50
176,3,2023-12-02,45
178,313,2022-05-21,60
180,704,2025-04-23,40
181,981,2024-10-14,90
182,103,2016-11-24,70
182,162,2022-07-10,10
184,653,2022-10-22,55
185,170,2025-07-14,90
186,446,2016-04-23,100
187,385,2023-08-23,60
188,529,2020-09-29,50
189,788,2024-05-04,65
189,633,2024-07-26,70
193,741,2021-03-04,85
195,458,2023-07-24,5
195,424,2025-07-27,80
195,446,2024-03-03,40
196,931,2019-08-06,45
197,535,2024-01-01,45
198,730,2020-09-09,5
198,539,2020-09-30,75
200,707,2025-08-21,50
201,861,2025-06-08,50
202,75,2025-04-10,35
202,794,2024-10-26,45
203,952,2020-07-08,25
203,985,2025-07-09,90
203,815,2021-02-19,85
205,741,2022-11-24,85
206,920,2023-10-08,40
207,552,2022-03-12,15
207,249,2022-04-29,25
211,71,2023-07-29,60
211,849,2018-10-19,80
211,24,2025-02-22,100
212,152,2024-06-08,50
212,542,2023-12-01,85
213,716,2022-05-05,85
214,409,2022-01-04,60
215,160,2024-03-12,80
216,641,2020-10-09,70
217,37,2025-06-13,20
217,525,2025-06-23,55
218,176,2024-06-13,30
219,235,2021-04-07,5
220,517,2020-06-08,70
221,619,2025-07-12,55
222,105,2025-05-20,15
