office_id,city,country,timezone
1,City_0001,Australia,Australia/Sydney
2,City_0002,Japan,Asia/Tokyo
3,City_0003,Canada,America/Toronto
4,City_0004,India,Asia/Kolkata
5,City_0005,Canada,America/Toronto
6,City_0006,Canada,America/Toronto
7,City_0007,Brazil,America/Sao_Paulo
8,City_0008,Brazil,America/Sao_Paulo
9,City_0009,UAE,Asia/Dubai
10,City_0010,UK,Europe/London
11,City_0011,UAE,Asia/Dubai
12,City_0012,Japan,Asia/Tokyo
13,City_0013,UAE,Asia/Dubai
14,City_0014,Australia,Australia/Sydney
15,City_0015,Australia,Australia/Sydney
16,City_0016,Japan,Asia/Tokyo
17,City_0017,Japan,Asia/Tokyo
18,City_0018,Singapore,Asia/Singapore
19,City_0019,UAE,Asia/Dubai
20,City_0020,Australia,Australia/Sydney
21,City_0021,Germany,Europe/Berlin
22,City_0022,Germany,Europe/Berlin
23,City_0023,Brazil,America/Sao_Paulo
24,City_0024,Singapore,Asia/Singapore
25,City_0025,Germany,Europe/Berlin
26,City_0026,Singapore,Asia/Singapore
27,City_0027,India,Asia/Kolkata
28,City_0028,Australia,Australia/Sydney
29,City_0029,UAE,Asia/Dubai
30,City_0030,Singapore,Asia/Singapore
31,City_0031,Singapore,Asia/Singapore
32,City_0032,UK,Europe/London
33,City_0033,UAE,Asia/Dubai
34,City_0034,India,Asia/Kolkata
35,City_0035,UK,Europe/London
36,City_0036,Japan,Asia/Tokyo
37,City_0037,Brazil,America/Sao_Paulo
38,City_0038,Australia,Australia/Sydney
39,City_0039,USA,America/New_York
40,City_0040,UAE,Asia/Dubai
41,City_0041,USA,America/New_York
42,City_0042,Japan,Asia/Tokyo
43,City_0043,UAE,Asia/Dubai
44,City_0044,India,Asia/Kolkata
45,City_0045,UK,Europe/London
46,City_0046,Singapore,Asia/Singapore
47,City_0047,UK,Europe/London
48,City_0048,USA,America/New_York
49,City_0049,UAE,Asia/Dubai
50,City_0050,Canada,America/Toronto
51,City_0051,Australia,Australia/Sydney
52,City_0052,Brazil,America/Sao_Paulo
53,City_0053,Singapore,Asia/Singapore
54,City_0054,USA,America/New_York
55,City_0055,Australia,Australia/Sydney
56,City_0056,Japan,Asia/Tokyo
57,City_0057,Singapore,Asia/Singapore
58,City_0058,Australia,Australia/Sydney
59,City_0059,UAE,Asia/Dubai
60,City_0060,Japan,Asia/Tokyo
61,City_0061,India,Asia/Kolkata
62,City_0062,Brazil,America/Sao_Paulo
63,City_0063,USA,America/New_York
64,City_0064,Germany,Europe/Berlin
65,City_0065,Canada,America/Toronto
66,City_0066,Germany,Europe/Berlin
67,City_0067,USA,America/New_York
68,City_0068,Singapore,Asia/Singapore
69,City_0069,USA,America/New_York
70,City_0070,USA,America/New_York
71,City_0071,UAE,Asia/Dubai
72,City_0072,UK,Europe/London
73,City_0073,Canada,America/Toronto
74,City_0074,India,Asia/Kolkata
75,City_0075,India,Asia/Kolkata
76,City_0076,Australia,Australia/Sydney
77,City_0077,India,Asia/Kolkata
78,City_0078,Canada,America/Toronto
79,City_0079,Australia,Australia/Sydney
80,City_0080,Australia,Australia/Sydney
81,City_0081,Singapore,Asia/Singapore
82,City_0082,UK,Europe/London
83,City_0083,Germany,Europe/Berlin
84,City_0084,Japan,Asia/Tokyo
85,City_0085,Singapore,Asia/Singapore
86,City_0086,Brazil,America/Sao_Paulo
87,City_0087,UK,Europe/London
88,City_0088,UK,Europe/London
89,City_0089,UK,Europe/London
90,City_0090,USA,America/New_York
91,City_0091,Brazil,America/Sao_Paulo
92,City_0092,Singapore,Asia/Singapore
93,City_0093,Brazil,America/Sao_Paulo
94,City_0094,Germany,Europe/Berlin
95,City_0095,UAE,Asia/Dubai
96,City_0096,Brazil,America/Sao_Paulo
97,City_0097,UK,Europe/London
98,City_0098,Germany,Europe/Berlin
99,City_0099,UAE,Asia/Dubai
100,City_0100,Canada,America/Toronto
101,City_0101,UAE,Asia/Dubai
102,City_0102,Canada,America/Toronto
103,City_0103,India,Asia/Kolkata
104,City_0104,UAE,Asia/Dubai
105,City_0105,Canada,America/Toronto
106,City_0106,Japan,Asia/Tokyo
107,City_0107,UK,Europe/London
108,City_0108,USA,America/New_York
109,City_0109,UAE,Asia/Dubai
110,City_0110,Australia,Australia/Sydney
111,City_0111,Brazil,America/Sao_Paulo
112,City_0112,Canada,America/Toronto
113,City_0113,Singapore,Asia/Singapore
114,City_0114,Canada,America/Toronto
115,City_0115,UAE,Asia/Dubai
116,City_0116,Canada,America/Toronto
117,City_0117,Germany,Europe/Berlin
118,City_0118,Singapore,Asia/Singapore
119,City_0119,UAE,Asia/Dubai
120,City_0120,USA,America/New_York
121,City_0121,Germany,Europe/Berlin
122,City_0122,Singapore,Asia/Singapore
123,City_0123,Brazil,America/Sao_Paulo
124,City_0124,Australia,Australia/Sydney
125,City_0125,Brazil,America/Sao_Paulo
126,City_0126,Canada,America/Toronto
127,City_0127,Canada,America/Toronto
128,City_0128,India,Asia/Kolkata
129,City_0129,Singapore,Asia/Singapore
130,City_0130,Canada,America/Toronto
131,City_0131,India,Asia/Kolkata
132,City_0132,Brazil,America/Sao_Paulo
133,City_0133,India,Asia/Kolkata
134,City_0134,Brazil,America/Sao_Paulo
135,City_0135,UAE,Asia/Dubai
136,City_0136,Canada,America/Toronto
137,City_0137,Germany,Europe/Berlin
138,City_0138,Brazil,America/Sao_Paulo
139,City_0139,Australia,Australia/Sydney
140,City_0140,Germany,Europe/Berlin
141,City_0141,Germany,Europe/Berlin
142,City_0142,Brazil,America/Sao_Paulo
143,City_0143,Canada,America/Toronto
144,City_0144,UK,Europe/London
145,City_0145,USA,America/New_York
146,City_0146,India,Asia/Kolkata
147,City_0147,Canada,America/Toronto
148,City_0148,UAE,Asia/Dubai
149,City_0149,India,Asia/Kolkata
