salary_id,employee_id,effective_date,end_date,currency,base_salary,bonus_pct,reason
1,1,2019-07-23,,INR,6989364,0.163,PROMOTION
2,2,2025-03-15,,INR,1547181,0.0616,MERIT
3,3,2022-10-26,,USD,1067424,0.1377,PROMOTION
4,4,2025-04-08,2025-06-30,INR,4395460,0.0229,MERIT
5,4,2025-07-01,,INR,3207390,0.1632,MERIT
6,5,2021-08-11,2023-10-07,INR,941270,0.1305,HIRE
7,5,2023-10-08,,INR,971562,0.1493,HIRE
8,6,2024-12-02,,USD,2642842,0.1372,PROMOTION
9,7,2024-11-30,,INR,1632090,0.129,MERIT
10,8,2017-09-17,2020-06-10,INR,3365612,0.1325,HIRE
11,8,2020-06-11,,INR,3740660,0.116,PROMOTION
12,9,2020-12-18,2021-11-22,INR,1162186,0.078,ADJUSTMENT
13,9,2021-11-23,,INR,969104,0.1961,ADJUSTMENT
14,10,2024-12-29,2025-02-15,USD,342502,0.0214,MERIT
15,10,2025-02-16,2025-07-01,USD,315999,0.0287,PROMOTION
16,10,2025-07-02,,USD,554796,0.105,PROMOTION
17,11,2024-04-30,2024-10-20,INR,6004744,0.0759,HIRE
18,11,2024-10-21,,USD,5668427,0.0397,HIRE
19,12,2019-03-11,2025-02-13,USD,3578319,0.1441,PROMOTION
20,12,2025-02-14,,USD,3430679,0.0535,PROMOTION
21,13,2025-08-19,,INR,2282106,0.1456,PROMOTION
22,14,2023-12-07,2025-04-19,INR,737559,0.1172,HIRE
23,14,2025-04-20,,INR,805630,0.0286,HIRE
24,15,2025-06-09,,INR,2541234,0.0193,MERIT
25,16,2023-06-30,2024-02-23,INR,1568169,0.1019,HIRE
26,16,2024-02-24,,USD,1632524,0.0216,ADJUSTMENT
27,17,2018-06-20,2019-07-26,USD,4519626,0.1533,ADJUSTMENT
28,17,2019-07-27,,USD,5690263,0.0155,HIRE
29,18,2021-10-14,2022-01-13,INR,889194,0.0862,ADJUSTMENT
30,18,2022-01-14,,INR,686081,0.1745,PROMOTION
31,19,2023-03-18,,USD,3155132,0.1761,PROMOTION
32,20,2019-09-08,,INR,4209380,0.1634,MERIT
33,21,2019-12-05,,USD,4254302,0.0485,ADJUSTMENT
34,22,2016-06-15,2019-07-14,USD,3912375,0.1076,HIRE
35,22,2019-07-15,2023-09-13,USD,4351083,0.0555,PROMOTION
36,22,2023-09-14,,USD,3909185,0.0277,MERIT
37,23,2018-11-08,,INR,2349256,0.1905,PROMOTION
38,24,2023-11-06,2023-12-30,INR,6338620,0.0337,MERIT
39,24,2023-12-31,2024-10-16,INR,5692964,0.0239,HIRE
40,24,2024-10-17,,INR,6807836,0.1537,ADJUSTMENT
41,25,2022-04-25,,USD,6757501,0.0915,MERIT
42,26,2020-11-13,2021-04-05,USD,390133,0.1651,ADJUSTMENT
43,26,2021-04-06,,USD,496225,0.1928,HIRE
44,27,2021-01-05,,USD,4250751,0.1387,ADJUSTMENT
45,28,2024-10-31,2025-07-27,INR,335134,0.0083,PROMOTION
46,28,2025-07-28,,INR,416161,0.0591,ADJUSTMENT
47,29,2024-08-25,2024-09-04,USD,3867613,0.1417,HIRE
48,29,2024-09-05,2025-04-10,INR,3450089,0.0692,PROMOTION
49,29,2025-04-11,,USD,3375813,0.0381,MERIT
50,30,2024-11-02,2025-02-05,INR,551532,0.0982,HIRE
51,30,2025-02-06,,INR,416660,0.0369,HIRE
52,31,2024-02-16,,INR,6823368,0.1033,HIRE
53,32,2022-06-30,,USD,1366885,0.1782,PROMOTION
54,33,2024-12-21,2025-06-13,USD,1918926,0.1649,HIRE
55,33,2025-06-14,,INR,1850559,0.0809,PROMOTION
56,34,2022-12-20,,INR,1676393,0.0287,PROMOTION
57,35,2023-08-09,2024-01-09,INR,1331021,0.1765,ADJUSTMENT
58,35,2024-01-10,,INR,1243236,0.1921,HIRE
59,36,2023-12-04,2024-02-01,INR,1394071,0.0718,MERIT
60,36,2024-02-02,,INR,921257,0.1173,PROMOTION
61,37,2024-03-08,,INR,2491465,0.0766,ADJUSTMENT
62,38,2018-12-24,,INR,3571811,0.1727,MERIT
63,39,2024-09-26,,USD,869078,0.1228,HIRE
64,40,2021-12-12,2025-06-30,INR,2767728,0.1581,ADJUSTMENT
65,40,2025-07-01,,USD,2258288,0.0806,PROMOTION
66,41,2021-07-12,,INR,2382809,0.1896,MERIT
67,42,2017-03-05,,INR,1314576,0.0697,MERIT
68,43,2018-08-17,2021-05-21,USD,1311158,0.1904,MERIT
69,43,2021-05-22,,USD,1292297,0.1902,PROMOTION
70,44,2023-04-18,,INR,1230518,0.1887,PROMOTION
71,45,2025-04-01,2025-06-23,USD,729380,0.06,ADJUSTMENT
72,45,2025-06-24,,USD,740042,0.1546,PROMOTION
73,46,2017-02-02,,USD,982911,0.101,HIRE
74,47,2019-06-20,,INR,1005863,0.1882,ADJUSTMENT
75,48,2024-12-06,,USD,746731,0.0195,ADJUSTMENT
76,49,2023-03-15,,INR,587649,0.0295,MERIT
77,50,2023-05-19,,INR,1913758,0.0283,MERIT
78,51,2021-05-01,2022-05-14,INR,334681,0.0552,ADJUSTMENT
79,51,2022-05-15,,USD,421460,0.0924,ADJUSTMENT
80,52,2023-05-25,2023-07-19,INR,310721,0.1774,HIRE
81,52,2023-07-20,2025-01-26,INR,458901,0.0762,PROMOTION
82,52,2025-01-27,,USD,482517,0.0477,MERIT
83,53,2025-01-11,2025-02-16,INR,5212930,0.0257,ADJUSTMENT
84,53,2025-02-17,,INR,4715488,0.064,PROMOTION
85,54,2023-09-13,2024-12-22,INR,1918798,0.1007,PROMOTION
86,54,2024-12-23,,USD,2017859,0.0922,HIRE
87,55,2023-11-01,2024-01-18,INR,1267699,0.1103,MERIT
88,55,2024-01-19,2024-09-05,USD,927110,0.1484,PROMOTION
89,55,2024-09-06,,USD,1028060,0.1072,PROMOTION
90,56,2024-06-19,,INR,2831013,0.0175,PROMOTION
91,57,2023-11-15,2025-06-23,INR,5872900,0.0617,MERIT
92,57,2025-06-24,,INR,6877747,0.148,PROMOTION
93,58,2025-04-24,,USD,2089440,0.1919,ADJUSTMENT
94,59,2022-12-08,,INR,933388,0.0844,MERIT
95,60,2021-09-17,,USD,6474843,0.1652,ADJUSTMENT
96,61,2025-05-21,,INR,2279014,0.0076,MERIT
97,62,2019-08-24,2023-09-30,USD,3808241,0.0837,HIRE
98,62,2023-10-01,2023-10-02,USD,4103743,0.0601,ADJUSTMENT
99,62,2023-10-03,,USD,3213890,0.1939,ADJUSTMENT
100,63,2024-06-10,,INR,2284943,0.1474,MERIT
101,64,2024-12-07,2024-12-23,INR,2189603,0.0626,ADJUSTMENT
102,64,2024-12-24,,USD,1575499,0.1124,MERIT
103,65,2023-11-06,,USD,1011606,0.0396,ADJUSTMENT
104,66,2022-07-26,,INR,1150797,0.1183,HIRE
105,67,2023-10-30,2024-06-06,USD,3615693,0.0789,ADJUSTMENT
106,67,2024-06-07,,INR,3525441,0.0634,PROMOTION
107,68,2022-03-30,2023-02-09,INR,2372543,0.0832,MERIT
108,68,2023-02-10,,USD,2973757,0.1057,MERIT
109,69,2019-06-04,,USD,1167350,0.1328,ADJUSTMENT
110,70,2020-12-02,,USD,1995592,0.1234,HIRE
111,71,2022-12-21,2025-01-27,INR,687078,0.1115,MERIT
112,71,2025-01-28,,INR,868096,0.1668,MERIT
113,72,2020-03-24,,USD,4299362,0.162,ADJUSTMENT
114,73,2019-10-20,2020-06-20,INR,5741751,0.1671,MERIT
115,73,2020-06-21,,INR,6849361,0.1004,HIRE
116,74,2021-03-30,,INR,3098603,0.0982,HIRE
117,75,2025-08-21,,USD,313037,0.0107,ADJUSTMENT
118,76,2018-09-09,2021-11-02,USD,2519346,0.1514,PROMOTION
119,76,2021-11-03,2022-05-12,INR,2673725,0.1227,PROMOTION
120,76,2022-05-13,,INR,2217970,0.0124,HIRE
121,77,2021-05-26,2022-07-26,INR,1316757,0.1374,MERIT
122,77,2022-07-27,2022-08-29,INR,1038143,0.1095,HIRE
123,77,2022-08-30,,USD,1357854,0.0159,MERIT
124,78,2025-01-03,2025-04-24,INR,4772357,0.1321,HIRE
125,78,2025-04-25,,INR,5665177,0.0984,MERIT
126,79,2021-12-08,,USD,6276699,0.1901,PROMOTION
127,80,2024-11-07,,USD,5565697,0.1147,HIRE
128,81,2025-02-21,,INR,661907,0.0794,PROMOTION
129,82,2023-04-11,2024-05-29,USD,3083961,0.1861,HIRE
130,82,2024-05-30,,USD,2715343,0.1484,HIRE
131,83,2025-07-15,2025-08-21,INR,4325419,0.1577,MERIT
132,83,2025-08-22,,INR,4295662,0.0752,ADJUSTMENT
133,84,2023-10-09,,USD,2743452,0.0141,ADJUSTMENT
134,85,2024-05-24,,INR,1092517,0.1692,MERIT
135,86,2023-12-04,2023-12-17,INR,502521,0.1005,ADJUSTMENT
136,86,2023-12-18,,USD,406526,0.184,PROMOTION
137,87,2021-05-26,2022-04-20,USD,1753852,0.1907,ADJUSTMENT
138,87,2022-04-21,2025-03-29,USD,1746948,0.0428,HIRE
