title_id,name,job_family,level
1,Distinguished Data Engineering,Data Engineering,L7
2,Intern Data Engineering,Data Engineering,L1
3,Principal Data Engineering,Data Engineering,L6
4,Engineer HR,HR,L3
5,Distinguished Platform,Platform,L7
6,Senior HR,HR,L4
7,Principal HR,HR,L6
8,Senior Data Engineering,Data Engineering,L4
9,Engineer Finance,Finance,L3
10,Senior Security,Security,L4
11,Distinguished Platform,Platform,L7
12,Engineer Sales,Sales,L3
13,Intern Marketing,Marketing,L1
14,Junior Data Engineering,Data Engineering,L2
15,Senior Marketing,Marketing,L4
16,Senior Marketing,Marketing,L4
17,Engineer Platform,Platform,L3
18,Junior HR,HR,L2
19,Distinguished DevOps,DevOps,L7
20,Principal DevOps,DevOps,L6
21,Senior DevOps,DevOps,L4
22,Distinguished Analytics,Analytics,L7
23,Staff DevOps,DevOps,L5
24,Intern Finance,Finance,L1
25,Junior DevOps,DevOps,L2
26,Intern Marketing,Marketing,L1
27,Senior Security,Security,L4
28,Junior Platform,Platform,L2
29,Intern Data Science,Data Science,L1
30,Senior Security,Security,L4
31,Senior HR,HR,L4
32,Distinguished Platform,Platform,L7
33,Distinguished Analytics,Analytics,L7
34,Staff DevOps,DevOps,L5
35,Junior DevOps,DevOps,L2
36,Senior Analytics,Analytics,L4
37,Senior Finance,Finance,L4
38,Engineer Marketing,Marketing,L3
39,Intern Marketing,Marketing,L1
40,Senior Data Science,Data Science,L4
41,Senior Finance,Finance,L4
42,Junior Platform,Platform,L2
43,Engineer HR,HR,L3
44,Intern Data Engineering,Data Engineering,L1
45,Senior Security,Security,L4
46,Distinguished HR,HR,L7
47,Engineer Marketing,Marketing,L3
48,Intern Finance,Finance,L1
49,Senior Data Science,Data Science,L4
50,Engineer Analytics,Analytics,L3
51,Distinguished DevOps,DevOps,L7
52,Engineer Sales,Sales,L3
53,Senior Data Engineering,Data Engineering,L4
54,Staff Data Engineering,Data Engineering,L5
55,Junior Finance,Finance,L2
56,Staff DevOps,DevOps,L5
57,Intern Security,Security,L1
58,Staff Sales,Sales,L5
59,Distinguished Marketing,Marketing,L7
60,Engineer Finance,Finance,L3
61,Principal HR,HR,L6
62,Intern HR,HR,L1
63,Intern Analytics,Analytics,L1
64,Engineer Sales,Sales,L3
65,Staff DevOps,DevOps,L5
66,Distinguished DevOps,DevOps,L7
67,Junior Analytics,Analytics,L2
68,Staff HR,HR,L5
69,Staff Sales,Sales,L5
70,Intern Data Engineering,Data Engineering,L1
71,Junior Data Engineering,Data Engineering,L2
72,Distinguished DevOps,DevOps,L7
73,Staff Marketing,Marketing,L5
74,Junior Marketing,Marketing,L2
75,Staff HR,HR,L5
76,Engineer Analytics,Analytics,L3
77,Engineer HR,HR,L3
78,Senior Analytics,Analytics,L4
79,Principal HR,HR,L6
80,Staff Security,Security,L5
81,Staff DevOps,DevOps,L5
82,Staff Finance,Finance,L5
83,Principal Marketing,Marketing,L6
84,Engineer HR,HR,L3
85,Distinguished Marketing,Marketing,L7
86,Engineer Data Engineering,Data Engineering,L3
87,Principal DevOps,DevOps,L6
88,Senior Data Science,Data Science,L4
89,Engineer HR,HR,L3
90,Staff Data Engineering,Data Engineering,L5
91,Engineer Marketing,Marketing,L3
92,Staff HR,HR,L5
93,Principal Platform,Platform,L6
94,Staff Data Engineering,Data Engineering,L5
95,Junior Marketing,Marketing,L2
96,Principal Finance,Finance,L6
97,Distinguished HR,HR,L7
